username,overall_attendance_lectures_weeks_6_10,inperson_attendance_lectures_weeks_6_10,lecture_recording_usage,remote_attendance_lectures_count,remote_attendance_lectures_weeks_1_5_count,remote_attendance_lectures_weeks_6_10_count
420,0 times,False,True,0.0,0.0,0.0
421,,False,True,0.0,0.0,0.0
422,,False,True,0.0,0.0,0.0
423,,False,True,0.0,0.0,0.0
424,11 to 15 times,False,True,0.0,0.0,0.0
425,,False,True,0.0,0.0,0.0
426,6 to 10 times,False,True,0.0,0.0,0.0
427,,False,True,0.0,0.0,0.0
428,,False,True,0.0,0.0,0.0
429,11 to 15 times,False,True,0.0,0.0,0.0
430,0 times,False,True,0.0,0.0,0.0
431,6 to 10 times,False,True,0.0,0.0,0.0
432,11 to 15 times,False,False,0.0,0.0,0.0
433,,False,True,0.0,0.0,0.0
434,6 to 10 times,False,True,0.0,0.0,0.0
435,0 times,False,True,0.0,0.0,0.0
436,,False,True,0.0,0.0,0.0
